pop,individual,p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,p1_id,p2_id
1,1,0.4828199,0.28229496,0.5069195,0.26198247,0.8328004,4.639215,1.0,2.0
1,2,0.47462398,0.3462047,0.46902707,0.35002318,0.67429405,2.8736475,1.0,2.0
1,3,0.48976314,0.420599,0.49077618,0.29675177,0.7794997,3.3113136,1.0,2.0
1,4,0.4961515,0.5266654,0.48223454,0.37372422,0.36203444,1.5713313,1.0,2.0
1,5,0.47327453,0.34387526,0.47720295,0.43880504,0.8177967,2.9010181,1.0,2.0
1,6,0.5039408,0.43316945,0.4692706,0.4037,1.0041534,2.4011765,1.0,2.0
1,7,0.42468023,0.37364972,0.5572477,0.35400927,1.1682328,3.580189,1.0,2.0
1,8,0.49420857,0.32559973,0.47982907,0.50757015,0.50621957,3.0905511,1.0,2.0
1,9,0.4343599,0.30672932,0.5649342,0.4077021,0.8265917,2.9978974,1.0,2.0
1,10,0.4810202,0.41520098,0.5137845,0.2843905,0.5841968,3.2152333,1.0,2.0
1,11,0.46951777,0.5316475,0.5435364,0.26983154,0.76081365,2.834557,1.0,2.0
1,12,0.5004977,0.27765238,0.50092554,0.45627126,0.3700028,2.8387995,1.0,2.0
1,13,0.5201894,0.4136779,0.46885458,0.26286572,1.19884,2.9452972,1.0,2.0
1,14,0.48250502,0.64952624,0.46453503,0.1145885,0.8205314,2.6781654,1.0,2.0
1,15,0.4932327,0.4941505,0.51546705,0.32051614,0.4804396,2.4154274,1.0,2.0
1,16,0.5002907,0.41504475,0.49500662,0.394393,0.36570284,2.5008767,1.0,2.0
1,17,0.482696,0.39577076,0.50228095,0.33817753,0.4110998,2.55865,1.0,2.0
1,18,0.50817823,0.4383752,0.46645957,0.36729032,0.65096396,2.0568843,1.0,2.0
1,19,0.52312666,0.27356225,0.4632221,0.36621243,0.7921441,3.5939808,1.0,2.0
1,20,0.5268786,0.40706912,0.45996055,0.35528246,0.5326835,2.842153,1.0,2.0
1,21,0.531668,0.4309735,0.4589322,0.3063188,0.7328534,3.4011064,1.0,2.0
1,22,0.504734,0.41549772,0.49075842,0.22186725,0.853148,3.0909762,1.0,2.0
1,23,0.4748713,0.45055252,0.534423,0.24298525,0.26804352,2.796069,1.0,2.0
1,24,0.48371696,0.5837416,0.49813363,0.17610648,0.76208425,2.916199,1.0,2.0
1,25,0.50591594,0.49219418,0.54029036,0.32969028,0.49851313,2.765089,1.0,2.0
1,27,0.4702279,0.39927402,0.5580335,0.34912762,0.71806073,2.8553483,1.0,2.0
1,28,0.43912205,0.34680593,0.5524705,0.36703306,1.2506182,3.5448291,1.0,2.0
1,29,0.47852963,0.2551892,0.50844634,0.44005615,0.9416344,3.7359004,1.0,2.0
1,30,0.53077805,0.21294919,0.42885312,0.41127422,0.5564506,3.1252487,1.0,2.0
1,31,0.497698,0.542884,0.52939284,0.32781723,0.36147133,2.613852,1.0,2.0
1,32,0.4255607,0.3407816,0.58402824,0.4227609,1.1859223,3.0081244,1.0,2.0
1,33,0.56356764,0.31896633,0.4289384,0.2582522,1.5474892,4.7256837,1.0,2.0
1,34,0.49404323,0.2865014,0.49478102,0.32239944,0.67556405,3.9107347,1.0,2.0
1,36,0.5219637,0.46121088,0.5064901,0.21957818,1.004355,3.541878,1.0,2.0
1,37,0.48012608,0.46330175,0.53424007,0.2507226,0.67510164,3.3244736,1.0,2.0
1,38,0.5006889,0.25919163,0.48545393,0.4323933,0.676633,3.22699,1.0,2.0
1,39,0.4948923,0.33534512,0.5034692,0.29040426,1.1654547,3.9609895,1.0,2.0
1,40,0.48950428,0.30268213,0.5027004,0.21165399,1.2037694,4.4926467,1.0,2.0
1,41,0.50093925,0.48902628,0.50943184,0.31044495,0.9006481,2.7021837,1.0,2.0
1,42,0.47966796,0.18085927,0.5363523,0.49936616,1.4622103,3.4491367,1.0,2.0
1,43,0.4863013,0.24426997,0.51196903,0.37924665,0.5014801,3.438036,1.0,2.0
