p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,data_type
0.47838783,0.2915751,0.47268394,0.34622267,1.9217807,3.6006815,test_pred
0.4788814,0.35554773,0.46947274,0.39657813,1.968122,2.7953553,test_pred
0.47564274,0.18954039,0.48376593,0.14379743,1.0793133,6.665965,test_pred
0.47225356,0.44509476,0.4722978,0.2052156,2.3300555,3.5211887,test_pred
0.4631854,0.18279336,0.47285274,0.4795974,2.9611952,4.2513995,test_pred
0.45132783,0.3843081,0.4855848,0.14152545,4.278646,4.6488686,test_pred
0.49044332,0.2757599,0.4644117,0.2240026,1.0770487,4.9665327,test_pred
0.5057177,0.27106026,0.44895715,0.2895899,0.84694386,4.3670855,test_pred
0.4833003,0.46748063,0.46027446,0.4351019,1.0883093,1.8071159,test_pred
0.46033964,0.22793901,0.47324997,0.29014015,2.6798153,4.5563345,test_pred
0.45413327,0.4265135,0.4647614,0.48538747,1.7995325,1.7179848,test_pred
0.46209243,0.25644684,0.48315245,0.3110935,1.4061674,4.2230816,test_pred
0.4679641,0.50787693,0.47738338,0.40517086,1.7356025,1.2153269,test_pred
0.51339805,0.5230925,0.45832545,0.35740587,1.6467192,1.8297989,test_pred
0.4795708,0.23118256,0.44305083,0.20010294,1.7217662,5.7682157,test_pred
0.4741771,0.34819835,0.5150068,0.075730726,3.3767948,5.862138,test_pred
0.4540925,0.3567597,0.4774947,0.44204912,1.6079419,2.926672,test_pred
0.45102012,0.3811988,0.47753626,0.30492657,2.1921685,3.5420895,test_pred
0.4675895,0.16172427,0.51628983,0.48030484,1.4554777,4.04844,test_pred
0.5040007,0.255954,0.4704756,0.31620765,1.0217888,4.5932255,test_pred
0.44651687,0.41132545,0.46137285,0.3754122,2.067414,2.7620049,test_pred
0.51654273,0.5134113,0.44273683,0.437776,2.5214338,1.4339373,test_pred
0.43471846,0.42350334,0.49767685,0.39015383,1.7692592,1.7451401,test_pred
0.477925,0.4262138,0.47740665,0.36453688,1.0657625,2.5734324,test_pred
0.50033355,0.25557783,0.5042667,0.34418643,1.2952807,4.6189785,test_pred
0.51067793,0.45646852,0.4275777,0.39050794,2.1541615,1.6679902,test_pred
0.4519372,0.36504018,0.48192167,0.32631347,2.726771,2.9432888,test_pred
0.4681831,0.29880887,0.4896305,0.34893215,1.6846457,3.6464143,test_pred
0.44562712,0.23374318,0.48048848,0.22062923,1.9630003,5.579556,test_pred
0.4697869,0.31786555,0.5161376,0.5042321,1.1595124,2.6448565,test_pred
0.49450764,0.4241531,0.47060585,0.36740676,2.546482,2.2360823,test_pred
0.48075813,0.4169507,0.45760587,0.26436746,1.8725951,3.1899557,test_pred
0.48477802,0.08957799,0.49221936,0.21283185,1.1974468,6.749761,test_pred
0.47876245,-0.07156573,0.44992206,0.09960356,2.3464034,8.936007,test_pred
0.46189463,0.45788974,0.47997382,0.26151973,2.4326105,3.0699024,test_pred
0.46046337,0.40868792,0.49286047,0.5051748,2.9723709,1.3303547,test_pred
0.5120591,0.2557193,0.45329586,0.32786316,2.2485614,4.0915155,test_pred
0.5041294,0.36430234,0.47044572,0.4263135,1.6946718,2.6943555,test_pred
0.48752964,0.38890824,0.45332223,0.43915802,2.655957,2.367305,test_pred
0.4560829,0.19523375,0.52333516,0.44992825,2.4134016,3.2347393,test_pred
0.4807266,0.058402352,0.4972225,0.24124674,2.0656476,6.3648996,test_pred
0.49699455,0.3494454,0.4379904,0.40847906,0.98610735,3.1475568,test_pred
0.5024321,0.32619786,0.45077413,0.18225396,2.4744859,4.738358,test_pred
0.4894231,0.28196204,0.45001796,0.38806534,1.7493851,3.3504653,test_pred
