p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,pop,p1_id,p2_id
0.49088675,0.2881399,0.4541211,0.30262056,2.265575,4.098424,1,1,2
0.47040683,0.38599262,0.47775498,0.49370483,1.7087029,1.9493129,1,1,2
0.4612474,0.32389072,0.49905735,0.3131662,2.964873,3.6602144,1,1,2
0.45496023,0.36726567,0.49937895,0.49855673,1.9628196,2.0040739,1,1,2
0.46311682,0.04458317,0.50422215,-0.033517957,3.018692,8.901632,1,1,2
0.43482712,0.17981264,0.5103812,0.40713465,1.8204982,4.537615,1,1,2
0.47634634,0.2984007,0.4899498,0.3113467,1.7482169,4.7351995,1,1,2
0.46601057,0.45586392,0.4878486,0.26956296,2.457872,2.8976989,1,1,2
0.46478167,0.48859334,0.48583922,0.21759892,3.058849,3.3112855,1,1,2
0.47250122,0.3711925,0.4693631,0.47927833,1.7966305,1.6640637,1,1,2
0.47304222,0.16438732,0.4888582,0.35200137,1.7566199,4.5360003,1,1,2
0.48726493,0.46713296,0.4468357,0.5228008,2.526838,0.28653836,1,1,2
0.46053064,0.54721993,0.47829053,0.24204089,4.3381176,2.8119383,1,1,2
0.47048268,0.23221746,0.51396763,0.3525009,1.1130157,4.356896,1,1,2
0.45935008,0.38388425,0.48869184,0.26764476,3.3312075,3.631238,1,1,2
0.48932046,0.23450154,0.48893574,0.2485532,2.009867,4.7678466,1,1,2
0.48975146,0.23309198,0.44140857,0.42511964,1.803496,3.888237,1,1,2
0.4618575,0.11366002,0.48757932,0.20203015,2.8486578,6.3153353,1,1,2
0.49478936,0.17951328,0.50664866,0.42372322,0.8021562,4.3397074,1,1,2
0.4571813,0.23038872,0.5085759,0.5129087,2.2946548,2.1923623,1,1,2
0.4479756,0.382664,0.5042109,0.43577832,2.2546525,1.6376452,1,1,2
0.47529018,0.26245773,0.49460196,0.314983,2.3844333,4.0367723,1,1,2
0.49505934,0.1674734,0.4485988,0.46042678,2.2702157,3.8788774,1,1,2
0.47703314,0.40217516,0.49365568,0.35196114,2.4662042,2.8553648,1,1,2
0.49914062,0.3602613,0.49092755,0.37094164,1.3663592,3.1100864,1,1,2
0.47875008,0.26174513,0.44585484,0.41182023,2.7785347,3.5886164,1,1,2
0.45559683,0.085712045,0.51639235,0.055594534,3.0997798,7.126438,1,1,2
0.4680347,0.25293624,0.47218218,0.26349735,2.492981,4.7665944,1,1,2
0.48530084,0.5361993,0.44309404,0.33235767,3.1939635,1.5583768,1,1,2
0.4480102,0.24107438,0.50759894,0.29277068,2.0507894,4.2354145,1,1,2
0.47593924,0.46197438,0.47775903,0.4151826,1.3577318,2.0681148,1,1,2
0.49520698,0.26247156,0.4630416,0.24220729,0.97434705,5.3200974,1,1,2
0.48470223,0.24528235,0.47348827,0.37327963,1.3631358,3.8519335,1,1,2
0.46073782,0.29433244,0.48750535,0.3521962,1.6726029,3.4272382,1,1,2
0.46123925,0.34293756,0.5020271,0.22169457,2.0540032,4.2067695,1,1,2
0.4537384,0.33508143,0.49428567,0.28951097,2.6697576,4.0720997,1,1,2
0.5079652,0.25842035,0.4499382,0.49300325,1.117074,2.9705195,1,1,2
0.52069795,0.3287384,0.45876154,0.33990306,0.9676143,3.7016714,1,1,2
0.4899627,0.47362804,0.4426825,0.2972461,2.208095,2.4318562,1,1,2
0.43838608,0.29096216,0.49634543,0.37527794,2.209097,3.5541306,1,1,2
