"","pop","individual","value","cluster","cluster_size"
"1",1,1,1,"Cluster 1",89
"2",1,1,1,"Cluster 10",1
"3",1,1,1,"Cluster 11",1
"4",1,1,1,"Cluster 12",12
"5",1,1,1,"Cluster 13",20
"6",1,1,1,"Cluster 14",41
"7",1,1,1,"Cluster 15",40
"8",1,1,1,"Cluster 2",25
"9",1,1,1,"Cluster 3",4
"10",1,1,1,"Cluster 4",70
"11",1,1,1,"Cluster 5",31
"12",1,1,1,"Cluster 6",4
"13",1,1,1,"Cluster 7",40
"14",1,1,1,"Cluster 8",2
"15",1,1,1,"Cluster 9",1
"16",1,1,2,"Cluster 1",63
"17",1,1,2,"Cluster 10",41
"18",1,1,2,"Cluster 11",6
"19",1,1,2,"Cluster 12",14
"20",1,1,2,"Cluster 13",5
"21",1,1,2,"Cluster 2",1
"22",1,1,2,"Cluster 3",3
"23",1,1,2,"Cluster 4",7
"24",1,1,2,"Cluster 5",71
"25",1,1,2,"Cluster 6",36
"26",1,1,2,"Cluster 7",27
"27",1,1,2,"Cluster 8",2
"28",1,1,2,"Cluster 9",1
"29",1,2,1,"Cluster 1",25
"30",1,2,1,"Cluster 10",77
"31",1,2,1,"Cluster 11",4
"32",1,2,1,"Cluster 12",4
"33",1,2,1,"Cluster 13",9
"34",1,2,1,"Cluster 14",22
"35",1,2,1,"Cluster 15",2
"36",1,2,1,"Cluster 16",48
"37",1,2,1,"Cluster 17",26
"38",1,2,1,"Cluster 2",52
"39",1,2,1,"Cluster 3",2
"40",1,2,1,"Cluster 4",26
"41",1,2,1,"Cluster 5",12
"42",1,2,1,"Cluster 6",26
"43",1,2,1,"Cluster 7",4
"44",1,2,1,"Cluster 8",4
"45",1,2,1,"Cluster 9",2
"46",1,2,2,"Cluster 1",13
"47",1,2,2,"Cluster 10",10
"48",1,2,2,"Cluster 11",20
"49",1,2,2,"Cluster 12",51
"50",1,2,2,"Cluster 13",1
"51",1,2,2,"Cluster 14",31
"52",1,2,2,"Cluster 15",3
"53",1,2,2,"Cluster 16",5
"54",1,2,2,"Cluster 17",15
"55",1,2,2,"Cluster 2",10
"56",1,2,2,"Cluster 3",10
"57",1,2,2,"Cluster 4",4
"58",1,2,2,"Cluster 5",32
"59",1,2,2,"Cluster 6",1
"60",1,2,2,"Cluster 7",26
"61",1,2,2,"Cluster 8",9
"62",1,2,2,"Cluster 9",74
"63",1,3,1,"Cluster 1",5
"64",1,3,1,"Cluster 10",6
"65",1,3,1,"Cluster 11",41
"66",1,3,1,"Cluster 2",65
"67",1,3,1,"Cluster 3",86
"68",1,3,1,"Cluster 4",21
"69",1,3,1,"Cluster 5",60
"70",1,3,1,"Cluster 6",29
"71",1,3,1,"Cluster 7",1
"72",1,3,1,"Cluster 8",20
"73",1,3,1,"Cluster 9",43
"74",1,3,2,"Cluster 1",11
"75",1,3,2,"Cluster 2",26
"76",1,3,2,"Cluster 3",8
"77",1,3,2,"Cluster 4",57
"78",1,3,2,"Cluster 5",55
"79",1,3,2,"Cluster 6",82
"80",1,3,2,"Cluster 7",3
"81",1,3,2,"Cluster 8",66
"82",1,4,1,"Cluster 1",13
"83",1,4,1,"Cluster 2",6
"84",1,4,1,"Cluster 3",30
"85",1,4,1,"Cluster 4",97
"86",1,4,1,"Cluster 5",16
"87",1,4,1,"Cluster 6",42
"88",1,4,1,"Cluster 7",126
"89",1,4,1,"Cluster 8",13
"90",1,4,2,"Cluster 1",24
"91",1,4,2,"Cluster 2",87
"92",1,4,2,"Cluster 3",9
"93",1,4,2,"Cluster 4",61
"94",1,4,2,"Cluster 5",46
"95",1,4,2,"Cluster 6",85
"96",1,4,2,"Cluster 7",2
"97",1,4,2,"Cluster 8",29
"98",1,4,2,"Cluster 9",3
"99",1,5,1,"Cluster 1",8
"100",1,5,1,"Cluster 10",7
"101",1,5,1,"Cluster 11",81
"102",1,5,1,"Cluster 12",3
"103",1,5,1,"Cluster 2",29
"104",1,5,1,"Cluster 3",11
"105",1,5,1,"Cluster 4",54
"106",1,5,1,"Cluster 5",47
"107",1,5,1,"Cluster 6",1
"108",1,5,1,"Cluster 7",88
"109",1,5,1,"Cluster 8",22
"110",1,5,1,"Cluster 9",27
"111",1,5,2,"Cluster 1",63
"112",1,5,2,"Cluster 10",6
"113",1,5,2,"Cluster 11",8
"114",1,5,2,"Cluster 12",75
"115",1,5,2,"Cluster 13",10
"116",1,5,2,"Cluster 2",11
"117",1,5,2,"Cluster 3",67
"118",1,5,2,"Cluster 4",5
"119",1,5,2,"Cluster 5",16
"120",1,5,2,"Cluster 6",38
"121",1,5,2,"Cluster 7",3
"122",1,5,2,"Cluster 8",2
"123",1,5,2,"Cluster 9",2
"124",1,6,1,"Cluster 1",23
"125",1,6,1,"Cluster 10",3
"126",1,6,1,"Cluster 11",5
"127",1,6,1,"Cluster 12",48
"128",1,6,1,"Cluster 13",8
"129",1,6,1,"Cluster 14",26
"130",1,6,1,"Cluster 15",7
"131",1,6,1,"Cluster 2",2
"132",1,6,1,"Cluster 3",54
"133",1,6,1,"Cluster 4",3
"134",1,6,1,"Cluster 5",21
"135",1,6,1,"Cluster 6",51
"136",1,6,1,"Cluster 7",1
"137",1,6,1,"Cluster 8",5
"138",1,6,1,"Cluster 9",33
"139",1,6,2,"Cluster 1",10
"140",1,6,2,"Cluster 10",26
"141",1,6,2,"Cluster 11",11
"142",1,6,2,"Cluster 12",34
"143",1,6,2,"Cluster 13",24
"144",1,6,2,"Cluster 14",8
"145",1,6,2,"Cluster 2",29
"146",1,6,2,"Cluster 3",1
"147",1,6,2,"Cluster 4",28
"148",1,6,2,"Cluster 5",1
"149",1,6,2,"Cluster 6",14
"150",1,6,2,"Cluster 7",79
"151",1,6,2,"Cluster 8",94
"152",1,6,2,"Cluster 9",29
"153",1,7,1,"Cluster 1",4
