"","parent_name","mean_value","sd_value","p_id"
"1","B73",-0.311056951591554,4.70076524117359,1
"2","B97",1.49606826443757,4.52306989404424,2
"3","CML103",6.46190562470079,6.28639191604383,3
"4","CML228",17.5179757533685,5.1557057555237,4
"5","CML247",19.3955253305869,5.37542503621992,5
"6","CML277",17.152108245325,2.27185067536531,6
"7","CML322",9.36059267095758,5.85028026671028,7
"8","CML333",10.2153451623776,4.83848042325178,8
"9","CML52",24.2058202029876,4.45779366742246,9
"10","CML69",13.4784942097912,5.67578719668253,10
"11","HP301",0.701336410809398,6.24695629170346,11
"12","Il14H",-5.63521974576105,4.70279930347921,12
"13","KI3",11.6105220209821,5.61337725665981,14
"14","Ki11",15.3824102525086,5.54284730024371,13
"15","Ky21",8.15569858334674,4.47804110974958,15
"16","M162W",8.90099901899392,4.86998056760008,16
"17","M37W",5.95838700783041,5.16648745675599,17
"18","MO18W",15.4168391525086,4.78160492270209,18
"19","Ms71",-3.74945388614782,4.01404170469264,19
"20","NC350",6.53805911052518,5.47366273207535,20
"21","NC358",3.75504102817241,6.53415189383,21
"22","Oh43",-4.17666147458414,3.81058365718471,22
"23","Oh7B",9.53155268858738,7.86148335546407,23
"24","P39",-8.7838683944097,4.19271565998233,24
"25","Tx303",10.2756985833467,5.51943710810724,25
"26","Tzi8",15.5598674808653,4.60040136588951,26
