"","parent_name","mean_value","sd_value","p_id"
"1","B73",0.53238837905762,4.54547183176823,1
"2","B97",0.919163159343945,5.23458506227086,2
"3","CML103",9.15966948845787,5.70604915225271,3
"4","CML228",17.5599783420453,5.12556532111936,4
"5","CML247",19.4843864669643,5.58639872209244,5
"6","CML277",16.817917400347,3.13277932647082,6
"7","CML322",9.23121603753428,6.87308883823921,7
"8","CML333",10.0726063630903,4.50024501141102,8
"9","CML52",21.9638938918741,7.63901413866375,9
"10","CML69",14.7529049890994,6.04059426080195,10
"11","HP301",0.528671264259616,6.00093587889275,11
"12","Il14H",-5.32283801651977,4.4972174141221,12
"13","KI3",12.6987370485678,5.43694776702098,14
"14","Ki11",14.5202618090963,6.13059521308473,13
"15","Ky21",7.26447119372266,4.70892538679598,15
"16","M162W",11.2389806197137,4.93217710600734,16
"17","M37W",5.18526657543611,5.25396139508132,17
"18","MO18W",13.3246227378924,5.4186736689745,18
"19","Ms71",-2.87487688711802,3.77664570841515,19
"20","NC350",8.59657291608154,5.07831781280612,20
"21","NC358",4.90603733517826,6.76282696300286,21
"22","Oh43",-3.44436355256974,3.83652720142694,22
"23","Oh7B",9.98495274052842,7.68270050471292,23
"24","P39",-8.97148666516842,4.0795205871863,24
"25","Tx303",8.85465541821649,6.89301912954133,25
"26","Tzi8",14.6061719657288,4.83134376787842,26
