"pop","individual","indi_count_per_pop_trait","val_mean","val_sd"
1,1,7,76.7142857142857,8.76953601422344
1,2,6,78.6666666666667,8.16496580927726
1,3,6,76,8
1,4,7,74.8571428571429,7.22100111777149
1,5,7,84.2857142857143,9.28644685754973
1,6,6,74.6666666666667,7.96659693135448
1,7,6,75.3333333333333,8.89194391945128
1,8,5,74,4.63680924774785
1,9,6,80,8.39047078536121
1,10,6,74.1666666666667,9.76558583325479
1,11,7,78,9.36304793679209
1,12,6,77.8333333333333,10.7408876107455
1,13,6,78.6666666666667,9.75021367287234
1,14,6,79.3333333333333,12.11060141639
1,15,6,78.3333333333333,10.2696965226177
1,16,6,81.3333333333333,10.1718565988057
1,17,6,78.1666666666667,9.84716541278081
1,18,6,76.6666666666667,7.8655366420014
1,19,6,80.6666666666667,13.7646891235025
1,20,5,77.8,11.7558496077485
1,21,5,73.8,4.60434577328853
1,22,6,75.8333333333333,8.51860708488581
1,23,6,74.6666666666667,9.0037029419382
1,24,5,76.6,10.7377837564369
1,25,5,81.2,12.2759928315391
1,27,5,81.6,11.0136279218067
1,28,5,77.6,9.34344690143846
1,29,6,76.1666666666667,7.41395081361258
1,30,6,76.3333333333333,10.15217546473
1,31,6,74.8333333333333,5.60059520646392
1,32,7,74.7142857142857,8.13867896148357
1,33,6,77.5,14.2933550994859
1,34,6,80.3333333333333,14.9220195237329
1,36,7,79.1428571428571,10.2376522606271
1,37,6,79.5,7.50333259292163
1,38,6,77.6666666666667,10.5955965696447
1,39,6,78.3333333333333,16.3299316185545
1,40,5,76.4,10.1636607578175
1,41,7,75.2857142857143,8.69318287921223
1,42,5,75.6,7.23187389270582
1,43,7,76.1428571428571,10.4311803651132
1,44,6,77,7.61577310586391
1,45,6,75.1666666666667,6.04703784233791
1,46,6,80.1666666666667,8.42417157153549
1,47,6,74.3333333333333,7.52772652709081
1,48,6,79.5,10.7470926301023
1,49,6,80.5,13.8094170767632
1,50,5,71.4,7.95612971236643
1,51,7,77.5714285714286,12.9724983825674
1,52,6,78.1666666666667,7.83368793523629
1,53,6,78.5,14.5705181788432
1,54,7,78.1428571428571,13.0821579696492
1,55,7,75.8571428571429,11.7958830590532
1,56,6,73.6666666666667,7.06163342766153
1,57,7,74.4285714285714,8.42332362861483
1,58,5,77.6,12.5618469979538
1,59,7,79.7142857142857,7.18132498717532
1,60,7,74,7.09459888459759
1,61,6,75.1666666666667,12.4324843320499
1,62,7,76.4285714285714,9.3782930724296
1,63,7,79.7142857142857,9.6904469404028
1,64,6,78.3333333333333,7.17402722790112
1,65,6,72.6666666666667,10.7269131937695
1,66,6,77,7.53657747256671
1,67,7,76.2857142857143,13.7078357848627
1,68,7,75,9.34523051258412
1,69,6,74.1666666666667,9.02034736951225
1,70,7,76.1428571428571,9.68553167407571
1,71,5,78,9.5655632348545
1,72,5,72.4,6.34822809924155
1,73,6,76.3333333333333,8.6178110136314
1,74,6,77.8333333333333,9.28260021042955
1,75,7,75.1428571428571,10.2213595219125
1,76,7,77,9.53939201416946
1,77,6,74.8333333333333,11.6861741672229
1,78,7,72,9.52190457139047
1,79,5,75.2,5.11859355682789
1,80,7,77.1428571428571,8.89622712968015
1,81,6,77.1666666666667,11.5830335692627
1,82,6,75.8333333333333,10.0681014430064
1,83,6,81,9.81835016690686
1,84,6,83.1666666666667,8.18331636115009
1,85,6,79.5,13.8527975513973
1,86,6,75.8333333333333,11.7203526681865
1,87,6,77.1666666666667,11.4090607267499
1,88,7,79.4285714285714,13.5383054436556
1,89,6,76,7.26636084983398
1,90,6,81.3333333333333,7.58067719050658
1,91,5,80.6,11.1937482551646
1,92,6,78,13.4759044223384
1,93,6,74.8333333333333,8.35264429187947
1,94,6,76.1666666666667,9.55859124906315
1,95,6,78.1666666666667,8.81854107359413
1,96,6,75.5,7.79102047231298
1,97,6,78.1666666666667,7.85917722580848
1,98,6,74.1666666666667,8.44787941833136
1,99,6,78.3333333333333,14.459137825841
1,100,6,74.8333333333333,9.88770280028009
1,101,5,75.6,6.94982014155762
1,102,5,81.6,13.1643457870112
1,103,7,74.2857142857143,10.4197614450346
1,104,6,73.5,9.00555384193554
1,105,6,82.3333333333333,10.112698288126
1,106,6,77.8333333333333,14.274686219552
1,107,6,76,11.7983049630021
1,108,6,74.3333333333333,8.09114742583935
1,109,5,73.6,5.68330889535313
1,110,6,79.6666666666667,9.24481836850604
1,111,6,77.3333333333333,6.74289749786148
1,112,5,70.2,6.53452370108182
1,113,6,77.1666666666667,12.1887926664894
1,114,6,79.6666666666667,12.1435854123346
1,115,6,76.1666666666667,9.28260021042955
1,116,7,76.8571428571429,7.0575862594462
1,117,7,75.7142857142857,8.95757194992567
1,118,6,79.5,9.58644876896549
1,119,7,74.5714285714286,8.99735410842437
1,120,6,80,12.6964561984831
1,121,6,79.5,6.77495387438173
1,122,7,78.7142857142857,10.7349008024339
1,123,7,77.2857142857143,7.36465173909094
1,124,6,79.3333333333333,9.33095207718198
1,125,6,76.8333333333333,7.73089041874652
1,126,6,81.3333333333333,13.3815793786334
1,127,6,80.1666666666667,14.2325917058934
1,128,7,72.2857142857143,10.5627377403507
1,129,6,79.1666666666667,14.2466370300737
1,130,7,79,12.2065556157337
1,131,6,76.1666666666667,8.20771994324043
1,132,6,82.6666666666667,7.99166232186187
1,133,6,78,9.40212741883453
1,134,6,79.6666666666667,9.68848113311197
1,135,5,80.2,11.8827606220104
1,136,7,77.4285714285714,8.69592132088646
1,137,7,76.7142857142857,8.01486713789413
1,138,6,78.6666666666667,10.6520733506049
1,139,6,76.1666666666667,6.24232862533419
1,140,6,75.6666666666667,9.56382071489563
1,141,6,75.6666666666667,8.95916662791058
1,143,5,76.8,8.40832920383116
1,144,7,73.8571428571429,8.64924989866311
1,145,7,76.7142857142857,8.30088922373753
1,146,6,81.1666666666667,9.45339445208263
1,147,6,75.6666666666667,10.8012344973464
1,148,6,75.5,9.48156105290685
1,149,7,75.1428571428571,9.88986975695453
1,150,6,76.3333333333333,11.5181016954473
1,151,5,73.6,7.02139587261678
1,152,7,74.5714285714286,9.08950205561601
1,153,7,74.7142857142857,7.76132045711909
1,154,6,79.3333333333333,11.3959056975155
1,156,6,78.8333333333333,11.6518954109049
1,157,6,78,6.92820323027551
1,158,6,77.1666666666667,8.93121865518176
1,159,6,75.5,8.11788149704096
1,160,6,81.5,11.273863579093
1,161,7,79.1428571428571,9.45918550807576
1,162,6,75.6666666666667,10.7827021968831
1,163,6,75.3333333333333,10.8012344973464
1,164,6,78.6666666666667,10.7641379899492
1,165,6,78,6.75277720645365
1,166,7,75.7142857142857,9.30437685024788
1,167,6,76.1666666666667,6.04703784233791
1,168,5,76.8,9.80815986819138
1,169,6,79.5,9.79285453787607
1,170,6,82,9.83869910099907
1,171,6,78.5,14.2793557277631
1,172,6,76.5,12.5019998400256
1,173,6,76.5,15.4499190936393
1,174,6,78.8333333333333,9.70395108533976
1,175,6,77.6666666666667,11.1654228162962
1,176,6,79.5,11.5368973298717
1,177,6,77.3333333333333,11.7075474232081
1,178,6,74.6666666666667,6.74289749786148
1,180,6,76.1666666666667,10.6661458206171
1,181,6,80.6666666666667,10.2696965226177
1,182,5,77.2,6.05805249234438
1,183,7,79,12.4766448481419
1,184,6,75.6666666666667,8.73307887670017
1,185,6,78.1666666666667,8.79583234643923
1,186,6,80,11.2605506082074
1,187,7,79.2857142857143,8.42049653552342
1,188,5,74.8,8.34865258589672
1,189,7,72,7.61577310586391
1,190,6,82,7.12741187248218
1,191,6,75.8333333333333,7.67897562612792
1,192,5,80.4,15.582040944626
1,193,6,75.5,8.16700679563817
1,194,7,73,8.32666399786453
1,195,6,76.5,10.3295692068934
1,196,5,76.2,5.40370243444252
1,197,6,76.8333333333333,11.9568669251885
1,198,6,74.5,9.24662100445346
1,199,7,75.8571428571429,10.007140307943
2,1,7,78.8571428571429,12.6283882770602
2,2,6,82.6666666666667,13.6186147117343
2,3,6,79.5,6.65582451691749
2,4,6,79.6666666666667,11.2723851365479
2,5,7,75,10.2469507659596
2,6,5,85.4,10.7377837564369
2,7,6,76.8333333333333,10.4578519145505
2,8,6,80.3333333333333,12.6596471778113
2,9,6,85.5,11.4324100696222
2,10,5,83,9.77241014284603
2,11,6,80.8333333333333,12.7030180141046
2,12,7,78.1428571428571,9.83918308649269
2,13,6,81.8333333333333,10.6097439491567
2,14,6,80,12.1819538662728
2,15,5,80.2,14.3073407731835
2,16,5,75.4,8.61974477580398
2,17,6,80,8.55569985448298
2,18,7,77.1428571428571,10.0569805181703
2,19,7,79.2857142857143,9.48181216354563
2,20,7,78.8571428571429,11.6680271315616
2,21,7,78.5714285714286,12.0534523803645
2,22,7,82.2857142857143,14.3261332968144
2,23,7,80.8571428571429,15.9314005601995
2,25,6,80.1666666666667,10.1472492167418
2,26,6,79.5,7.42293742395825
2,27,6,78,8.8994381845148
2,28,7,83.2857142857143,12.5925147834509
2,29,6,76.6666666666667,11.7075474232081
2,30,5,82,13.729530217746
2,31,6,76,8.09938269252663
2,32,6,79.1666666666667,11.6002873527627
2,33,6,83.3333333333333,16.7052885837589
2,34,6,80.3333333333333,8.06639117986889
2,35,6,78.6666666666667,12.4204133049857
2,36,6,82.3333333333333,11.1474959819085
2,37,6,80,8.71779788708135
2,38,6,83.8333333333333,15.7913478419882
2,39,7,76.2857142857143,10.4835472004833
2,40,6,82.8333333333333,13.0447946195663
2,41,6,77.5,9.39680796866681
2,42,7,77.4285714285714,13.0237877600584
2,43,7,80,11.3724814061547
2,44,6,83.5,17.6606908132157
2,45,6,78.5,12.6609636284131
2,46,6,77.8333333333333,10.9437958070619
2,47,6,82.1666666666667,12.9833226358535
2,48,5,75.2,12.9691942694988
2,49,6,83.1666666666667,15.1316445460058
2,50,7,79.4285714285714,10.7371185280649
2,51,5,82.2,10.7796103825695
2,52,5,77.4,8.5615419172016
2,53,6,82.6666666666667,10.4817301370846
2,54,7,81.5714285714286,12.1498579258791
2,55,6,82.3333333333333,12.3720114236395
2,56,6,77.5,11.5887876846545
2,57,6,81.5,9.48156105290685
2,58,5,78.2,10.5688220724923
2,59,5,75.2,5.89067059000926
2,60,6,82.1666666666667,12.8750404530109
2,61,6,81.1666666666667,12.4485608271264
2,62,7,79.1428571428571,9.77119186569328
2,63,7,78.4285714285714,9.84644001415643
2,64,7,80.2857142857143,11.8140352365916
2,65,6,80.8333333333333,11.3915173118714
2,66,5,80.2,11.7345643293648
2,67,5,81.4,9.88938825206089
2,68,6,81.8333333333333,8.8411914732499
2,69,6,80.1666666666667,9.86745492346768
2,70,5,81.2,9.60208310732624
2,71,6,82.1666666666667,14.5109154317247
2,72,7,78.2857142857143,10.889050857234
2,73,6,81.8333333333333,9.53764471275098
2,74,5,78,7.58287544405155
2,75,6,85.5,11.3622180933126
2,76,6,79.1666666666667,10.3810725200562
2,77,6,82.3333333333333,13.094528119282
2,78,6,77.6666666666667,7.73735527597555
2,79,6,82.3333333333333,11.4134423670804
2,80,6,81.1666666666667,11.8560814212229
2,81,6,82.6666666666667,11.4484351186818
2,82,6,78.1666666666667,9.13053485107344
2,83,6,76.5,9.39680796866681
2,84,5,82.4,11.238327277669
2,85,6,78.5,11.0045445157898
2,86,6,76.3333333333333,7.68548415304245
2,87,6,82,11.5758369027902
2,88,6,79,7.53657747256671
2,89,6,79.6666666666667,8.28653526310404
2,90,5,76.8,8.31865373723417
2,91,7,80.5714285714286,11.7594946441467
2,92,7,75.4285714285714,9.67569365053729
2,93,6,81.1666666666667,11.2323936303295
2,94,6,79.3333333333333,10.0133244562766
2,95,7,75.1428571428571,10.073539123674
2,96,7,80,12.8582010146573
2,97,6,84.5,13.0345694213503
2,98,6,79.6666666666667,8.16496580927726
2,99,6,81,9.87927122818278
2,100,6,80.8333333333333,9.62115724155191
2,101,6,81.3333333333333,14.3341085061704
2,102,6,73.8333333333333,8.37655458208604
2,103,6,83.8333333333333,15.3286224647444
2,104,7,78.5714285714286,11.0582871316364
2,105,5,80,11.4017542509914
2,106,6,85.1666666666667,12.5445871461227
2,107,6,77.1666666666667,9.15241316083724
2,108,6,78.1666666666667,9.41098648743407
2,109,7,79.5714285714286,12.2998257827383
2,110,6,82.8333333333333,11.839200423452
2,111,7,77.5714285714286,10.4060422008425
2,112,6,86.3333333333333,17.7951304200522
2,113,6,81.3333333333333,12.225656083281
2,114,7,81.4285714285714,12.6735570231505
2,115,6,81.5,8.9162772500635
2,116,6,80.5,16.379865689315
2,117,6,85.1666666666667,15.25013661141
2,119,5,77.2,6.1400325732035
2,120,7,78.1428571428571,11.0064915910047
2,121,6,79,12.0830459735946
2,122,6,76.3333333333333,7.47440075635945
2,123,7,78.8571428571429,12.4019967670341
2,124,6,80.1666666666667,8.20771994324043
2,125,6,79.3333333333333,11.7416637094863
2,126,6,82.3333333333333,15.9708067005605
2,127,6,78.1666666666667,10.2842922297388
2,128,7,82.2857142857143,13.1493255304126
2,129,7,77.5714285714286,11.73111450882
2,130,5,84.8,12.3773987574126
2,131,6,79.1666666666667,9.53764471275098
2,132,6,80,11.8827606220104
2,133,7,76,8.22597511950204
