,maize_strain,mean_value,sd_value,indi_count_per_pop_trait,p_id
0,B73,74.717288491855,8.37281607379396,1903,1
1,B97,75.1518987341772,8.74875611318977,79,2
2,CML103,83.3924050632911,10.0949564984509,79,3
3,CML228,89.4576271186441,8.16494194902671,59,4
4,CML247,91.7068965517241,10.4931199191772,58,5
5,CML277,86.8421052631579,5.03838648238349,57,6
6,CML322,83.4864864864865,11.1013305919054,74,7
7,CML333,83.0,8.18977800481282,70,8
8,CML52,95.3272727272727,10.5796004710928,55,9
9,CML69,88.5833333333333,10.7477478806977,72,10
10,HP301,74.75,10.9119855467018,8,11
11,Il14H,68.9324324324324,7.822221737226,74,12
12,KI3,86.3647058823529,9.11807083139161,85,14
13,Ki11,87.741935483871,10.6354425773186,62,13
14,Ky21,81.6025641025641,8.18033712128757,78,15
15,M162W,84.027397260274,7.52398498643528,73,16
16,M37W,79.2236842105263,8.16431043703513,76,17
17,MO18W,87.8701298701299,10.1739484770904,77,18
18,Ms71,71.5333333333333,7.22296138513637,75,19
19,NC350,82.8857142857143,9.47237456592508,70,20
20,NC358,79.3243243243243,11.0020024430277,74,21
21,Oh43,70.6410256410256,7.29699165725762,78,22
22,Oh7B,84.0,10.0358731558345,65,23
23,P39,65.2837837837838,6.60120427010283,74,24
24,Tx303,83.2105263157895,10.5796229163724,76,25
25,Tzi8,87.2987012987013,9.63281799380165,77,26
