,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,individual,pop,p1_id,p2_id
0,-5.2331347,-5.161889,-5.0047584,-5.2397323,-4.9413943,-5.321799,-5.17774,-5.2243705,-5.334094,-5.2437077,-5.0995207,-5.212492,-5.3126626,-5.1082697,-5.1733932,-5.067825,-5.2331285,-5.1777043,-5.0966854,-5.152458,-4.859739,-5.461258,-5.248392,-4.746351,-5.1123896,-5.160892,-5.153262,-5.236243,-5.265814,-5.153822,-5.3189836,-5.2841105,-5.110427,-5.1858206,-5.2938156,-5.413927,-5.1922283,-4.8708763,-5.283449,-5.124565,-4.596115,-5.7823653,-5.059475,-4.9828725,-5.4592175,-5.171201,-5.465974,-5.2683516,-4.890949,-5.1949677,-4.983411,-5.0451474,-4.9729357,-5.243886,-4.933282,-4.820572,-5.3522882,-5.1738925,-5.229432,-4.9721923,-5.044389,-5.1131954,-5.6176357,-5.371409,-5.0413465,-5.302193,-4.7577147,-4.8949585,-5.2791553,-5.225658,-5.1372604,-5.2192187,-5.4816,-5.15427,-5.185116,-5.065492,-5.4011517,-4.8483343,-4.895283,-5.0970116,-4.978723,-5.015542,-5.136647,-4.9661107,-5.2937655,-5.210249,-5.204153,-5.011863,-5.3945937,-5.2653418,-5.1318526,-4.942811,-4.963924,-5.3496084,-5.253128,-5.2445545,-4.9592605,-5.4713197,-5.326074,-5.2150173,1,1,1,2
1,-5.2113876,-4.9335356,-4.9009275,-5.2461686,-4.6693206,-5.152287,-4.982639,-5.1046944,-5.217001,-5.3090916,-5.172518,-5.091758,-5.349583,-5.0213633,-5.274202,-4.892368,-4.851907,-5.3951554,-4.980937,-5.2375393,-4.7798896,-5.4565067,-5.2403784,-4.6545925,-5.302107,-5.2664757,-5.000272,-5.0104756,-5.0293174,-4.936246,-5.243351,-5.193897,-5.0392194,-4.9922414,-5.1255436,-5.5755434,-5.0424743,-4.711797,-5.1732073,-5.102188,-4.6430516,-5.6681457,-4.950741,-4.98693,-5.110333,-4.835864,-5.3866453,-5.101123,-4.7258058,-5.148908,-4.7974253,-5.001143,-5.0410404,-5.0846534,-4.896111,-4.7537355,-5.192099,-4.9997053,-5.063836,-4.6428914,-4.9571705,-4.8124332,-5.435133,-5.281627,-4.904353,-5.282199,-4.7982516,-4.754212,-5.003078,-4.939541,-4.9153776,-5.1128144,-5.2642303,-5.2893496,-5.1474357,-4.934091,-5.3651037,-4.729621,-4.7059283,-5.120782,-4.970571,-4.5672526,-4.986203,-4.926148,-5.2370067,-5.1124306,-5.026404,-4.969362,-5.1868463,-5.2778034,-5.0339847,-4.9148912,-5.212989,-4.9832506,-5.1009254,-5.2316766,-5.0748825,-5.286757,-5.3863916,-5.0304465,2,1,1,2
2,-4.908296,-4.9611726,-4.681744,-4.947021,-4.6213493,-5.1351867,-4.6702437,-5.0489054,-4.958843,-5.0084763,-4.7175474,-4.8919,-5.187097,-4.912569,-4.903046,-4.8868794,-4.6956596,-5.0048137,-4.712553,-5.060326,-4.6125736,-5.146517,-4.8420753,-4.5061693,-4.911263,-4.9047737,-4.7781067,-4.7355933,-4.8170323,-4.7702656,-4.952455,-4.7725797,-4.7892675,-4.811365,-4.9713097,-5.1323795,-4.890642,-4.4014287,-5.0955606,-4.9571733,-4.448927,-5.1703324,-4.8321924,-4.673131,-4.877218,-4.783538,-5.2299576,-5.051338,-4.692478,-4.8302875,-4.5784864,-4.7095704,-4.6656275,-4.821249,-4.486273,-4.749528,-4.853942,-4.862085,-4.7885647,-4.7598996,-4.7582693,-4.701122,-5.1470814,-5.137745,-4.765942,-5.1623497,-4.615728,-4.710452,-4.702904,-5.0753093,-4.6921287,-4.949551,-4.8843484,-4.851695,-5.090088,-4.759232,-4.9651904,-4.669627,-4.7203345,-4.8432274,-4.5535264,-4.5967474,-4.933315,-4.717444,-5.1178937,-4.8365517,-4.916821,-4.7587733,-5.091443,-5.019372,-4.669315,-4.70064,-4.829483,-4.9918466,-4.7871103,-4.8357387,-4.815946,-4.872684,-5.006174,-5.0342555,4,1,1,2
3,-4.54676,-4.6133947,-4.4313054,-4.54459,-4.306311,-4.457509,-4.364184,-4.561468,-4.5765114,-5.043234,-4.556962,-4.37224,-4.886029,-4.342999,-4.597785,-4.36031,-4.4539757,-5.1201444,-4.788698,-4.6890697,-4.507809,-4.777438,-4.8084784,-4.504938,-4.6351295,-4.66197,-4.3123856,-4.888417,-4.7129464,-4.6284723,-4.6061378,-4.9241366,-4.550527,-4.8889704,-4.680834,-4.6788425,-4.658134,-4.498416,-4.6147037,-4.6442213,-4.292318,-5.070359,-4.554871,-4.5251136,-4.6448646,-4.634835,-4.740557,-4.694345,-4.4626956,-4.648493,-4.3852367,-4.435489,-4.4733353,-4.6328325,-4.305725,-4.5271645,-4.453456,-4.4306407,-4.5270042,-4.5464997,-4.6953526,-4.432732,-4.772361,-4.7063756,-4.3651185,-4.790365,-4.5587463,-4.30796,-4.562141,-4.6010623,-4.43929,-4.571035,-4.527636,-4.6811924,-4.569717,-4.4895253,-4.899635,-4.1871443,-4.566585,-4.6475935,-4.493361,-4.4287486,-4.476024,-4.829082,-4.8007483,-4.7930036,-4.9773207,-4.4435024,-4.402117,-4.9652057,-4.6373334,-4.710515,-4.624746,-4.6505466,-4.5829477,-4.5870395,-4.7799306,-4.539827,-5.038927,-4.696015,5,1,1,2
4,-5.051812,-4.901232,-4.8059635,-4.9053006,-4.574443,-4.773583,-4.4391747,-4.7944098,-4.966775,-5.0657034,-4.981917,-4.741789,-5.152004,-4.526493,-4.692172,-4.5766516,-4.691333,-5.191047,-4.921419,-4.918368,-4.852258,-4.7496414,-5.0124407,-4.5537777,-4.9398932,-4.632019,-4.522103,-4.9500737,-4.9034343,-4.9194593,-4.826696,-4.880609,-4.8487024,-4.8552837,-4.8168893,-4.99614,-4.724882,-4.690783,-4.6709085,-4.837496,-4.476439,-5.2511764,-5.0644846,-4.758347,-4.867229,-4.932454,-4.8083315,-4.7272043,-4.867628,-4.711498,-4.703026,-4.7850404,-4.724499,-4.6990747,-4.3892765,-5.0827184,-4.76918,-4.328524,-4.821724,-4.7405624,-4.8408537,-4.5934043,-4.894407,-5.0119047,-4.739319,-5.1330433,-4.619872,-4.5947723,-4.7659626,-4.6841564,-4.6573715,-4.9420304,-4.7901855,-4.8014746,-4.8479457,-4.8036757,-5.1785007,-4.431595,-4.532114,-4.724169,-4.6259274,-4.598985,-4.8606954,-5.051775,-4.993137,-5.307459,-5.0105443,-4.698846,-4.956275,-5.2301836,-4.622873,-4.822188,-4.951529,-4.8648295,-4.885129,-5.0569854,-4.808225,-4.6833234,-5.2170515,-4.9176674,6,1,1,2
5,-4.6362624,-4.8978143,-4.7280746,-4.8752475,-4.6834955,-4.869651,-4.636931,-4.931539,-5.0192747,-5.263337,-4.9501715,-4.727871,-5.1071057,-4.630415,-4.8228636,-4.816425,-5.003313,-5.3180566,-4.95852,-4.912081,-4.806749,-5.0933733,-5.1368423,-4.70251,-4.9253163,-4.938568,-4.7145257,-5.2828336,-4.9532194,-4.9410686,-4.930015,-5.0979285,-5.0564866,-4.989397,-5.016098,-5.0076346,-5.032385,-4.8555202,-4.747678,-4.7372804,-4.505174,-5.389939,-4.9688625,-4.6787744,-4.937935,-4.8997145,-4.9273148,-4.872218,-4.972014,-4.778826,-4.6122046,-4.9263835,-4.92721,-4.890197,-4.692853,-4.951045,-4.817808,-4.7324023,-4.7229514,-4.994683,-4.817588,-4.6496496,-5.3135552,-5.1765227,-4.6615095,-5.176118,-4.7678943,-4.846064,-4.77358,-4.7635455,-4.901182,-4.849403,-4.8986707,-4.987008,-4.9902067,-4.843168,-5.20386,-4.661192,-4.7171082,-4.9319744,-4.8222423,-4.6638794,-4.827906,-5.117264,-4.902872,-5.2792253,-5.1388493,-4.8176517,-5.0098934,-5.3254094,-4.8605094,-4.9755507,-4.913447,-4.947851,-4.9094954,-5.2102304,-4.775913,-4.897449,-5.265218,-5.014157,7,1,1,2
6,-5.0511775,-5.0362186,-4.7176013,-5.1361227,-4.580398,-5.0921044,-4.796874,-4.8361387,-4.9880543,-5.113343,-5.0872393,-4.8540726,-5.2489333,-4.861952,-5.0283394,-4.679951,-4.7681017,-5.0539384,-4.828031,-4.8868303,-4.777572,-5.157693,-4.946121,-4.677605,-4.893712,-5.0864024,-4.8601294,-4.825196,-4.937547,-4.819214,-4.9380074,-4.77784,-4.8705664,-4.716023,-4.9079504,-5.059492,-4.7341413,-4.532595,-5.164974,-4.8199515,-4.406776,-5.2001877,-4.903031,-4.7991724,-4.9768887,-4.7566996,-5.2343407,-4.9425125,-4.7186036,-4.9310327,-4.736768,-4.8556623,-4.521288,-4.853056,-4.6974335,-4.6298385,-4.942974,-4.9204082,-5.0583906,-4.5073857,-4.8084373,-4.8680344,-5.1392303,-5.1854568,-4.7101974,-5.0960245,-4.528648,-4.6340685,-4.9879103,-4.909,-4.939763,-4.916784,-4.952128,-4.9404535,-5.011188,-4.742512,-5.138621,-4.7778444,-4.6635327,-4.7236633,-4.8255086,-4.639806,-4.7840805,-4.7236705,-4.9324455,-5.0000215,-4.86979,-4.7007656,-5.2108393,-5.1859965,-4.892663,-4.845686,-4.9731655,-4.7731786,-5.018196,-5.093036,-4.8096285,-5.0169997,-5.17716,-4.9458823,8,1,1,2
7,-4.7570186,-4.8523335,-4.659991,-4.820185,-4.629353,-4.732036,-4.706631,-4.6175146,-4.981045,-5.188121,-5.0567527,-4.6607285,-5.1125884,-4.4085836,-4.6843634,-4.5941586,-4.6588926,-5.2682796,-5.0323586,-4.804812,-5.000907,-4.8017063,-4.984351,-4.699593,-4.9681277,-4.798091,-4.6815896,-5.0434504,-4.882799,-4.916328,-4.8744254,-4.9931703,-5.028781,-5.0346556,-4.8717356,-5.039202,-4.6108017,-4.7063174,-4.5912943,-4.812551,-4.2163196,-5.066832,-5.055177,-4.6648574,-4.7495036,-4.6100554,-4.8607044,-4.722991,-4.7057214,-4.878782,-4.6620975,-4.7390504,-4.62107,-4.7509456,-4.5636616,-4.8725157,-4.7346406,-4.5810533,-4.726721,-4.843747,-5.0658016,-4.6042266,-5.0355067,-5.0093923,-4.584408,-5.0199304,-4.794068,-4.7504025,-4.870275,-4.63054,-4.8237495,-5.0374103,-4.8212028,-4.689364,-4.767367,-4.6898184,-5.1830325,-4.4569993,-4.4893675,-4.7283144,-4.821547,-4.677994,-4.6682897,-5.063733,-4.8162055,-5.2835793,-5.112149,-4.8795676,-4.7397785,-5.148693,-4.703172,-5.0171165,-4.8905354,-4.810825,-4.896838,-4.916494,-4.896225,-4.646087,-5.1683354,-4.956553,9,1,1,2
8,-4.813436,-4.842509,-4.6036954,-4.9534745,-4.7170553,-4.891475,-4.663212,-4.978355,-5.018785,-5.0456944,-4.966476,-4.699236,-5.229479,-4.6854467,-4.722806,-4.769809,-4.7644033,-5.151489,-5.058524,-5.0354433,-4.997502,-5.0566626,-5.09538,-4.708837,-4.9743953,-4.807474,-4.7691627,-5.0507126,-4.7191367,-5.0630507,-5.0593896,-4.951669,-5.0403614,-4.9927783,-4.9647017,-5.0907755,-4.8398633,-4.844072,-4.664447,-4.978026,-4.2705207,-5.363589,-4.965831,-4.968322,-4.972454,-4.6103845,-5.060999,-4.8727465,-4.8888645,-4.7926564,-4.748025,-4.774572,-4.5149994,-4.995147,-4.6624327,-4.8233423,-4.7894783,-4.6557455,-4.822611,-4.917759,-4.7250004,-4.772914,-5.1374755,-5.102588,-4.775858,-5.2225533,-4.91847,-4.819483,-4.9986367,-4.794546,-4.7732754,-5.1389384,-5.0056767,-4.8443832,-4.984669,-4.8515058,-5.0247817,-4.6397457,-4.8191094,-4.849463,-4.808627,-4.728773,-4.8090663,-5.1756864,-5.1752467,-5.081401,-5.221342,-4.900768,-5.009556,-5.2195725,-4.8366094,-5.039308,-4.729171,-5.013565,-4.943122,-4.8438573,-5.0141015,-4.5969844,-5.156293,-4.921924,11,1,1,2
9,-4.9690104,-4.9719424,-5.0029044,-5.046037,-4.839318,-5.027697,-4.9126725,-5.106096,-5.175744,-5.39962,-5.034165,-5.120529,-5.068077,-4.870065,-4.9158297,-4.812513,-4.916418,-5.3889823,-5.052662,-5.1369467,-5.1194296,-5.122834,-5.041431,-4.560747,-5.116249,-5.005309,-4.793894,-5.2189646,-5.0028777,-5.1198378,-5.104006,-5.0497327,-5.2075887,-5.154672,-4.913415,-5.061183,-4.826989,-4.8393264,-4.842394,-4.6721687,-4.609206,-5.4163675,-4.983291,-4.829987,-5.146363,-5.0331407,-5.046707,-5.132679,-4.8548007,-4.667935,-5.202544,-4.9609475,-4.998146,-5.097879,-4.2606564,-5.090582,-4.834776,-4.8716016,-5.065917,-5.2735534,-4.9601116,-4.875267,-5.189029,-5.4013715,-4.901818,-5.0677595,-5.021131,-4.8218565,-4.9285817,-4.8688717,-4.9148145,-5.279095,-4.947969,-5.0608244,-5.1304564,-4.8838634,-5.4002547,-4.9145546,-4.7143216,-4.9532747,-4.965572,-4.8902283,-4.9673333,-5.3315425,-5.096788,-5.28536,-5.110999,-4.775621,-5.0397406,-5.332626,-4.7972283,-4.959323,-5.1581445,-5.134973,-4.965026,-4.891276,-5.0113215,-4.8036056,-5.4558744,-5.2118664,13,1,1,2
