0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,individual,pop,p1_id,p2_id
-20.788975,-23.508415,-22.455887,-19.941162,-21.179276,-22.10994,-18.493717,-21.313732,-20.778423,-41.153866,-20.894445,-24.086905,-21.040443,-22.868599,-23.072489,-21.335003,-19.572136,-22.499224,-21.349482,-20.55869,-21.947758,-22.61217,-23.41868,-24.391905,-20.715466,-21.443613,-23.358553,-23.09302,-20.9109,-23.162949,-24.3422,-41.499027,-18.470428,-19.438131,-22.301773,-18.890804,-18.698881,-32.590145,-22.028105,-19.993492,-22.945671,-23.842567,-19.38529,-22.114178,-22.205267,-20.72585,-23.16459,-23.081364,-23.784266,-22.579115,-21.677107,-22.493513,-21.322327,-22.306892,-17.816067,-21.56775,-23.622953,-43.049606,-24.639202,-20.234468,-21.888065,-25.168564,-22.381586,-21.768644,-22.078785,-20.010397,-19.351797,-17.782358,-25.081087,-22.834993,-24.602682,-18.441423,-27.884262,-22.400099,-36.371864,-22.629389,-30.865246,-21.43283,-22.368309,-20.064663,-23.275484,-20.541538,-21.78887,-22.906755,-23.507816,-22.956444,-22.890831,-22.481297,-22.527456,-19.063112,-24.944365,-22.48334,-20.231441,-27.683716,-21.015697,-18.82712,-24.361067,-21.064941,-19.581553,-21.205929,1,1,1,2
-22.60546,-24.251284,-22.209583,-20.56691,-22.257786,-23.35307,-20.405436,-21.545235,-23.223917,-36.00015,-22.696726,-25.702118,-21.108137,-23.548182,-25.580948,-22.022392,-20.168745,-23.624975,-23.15995,-20.97361,-20.859802,-24.083607,-25.244572,-24.577738,-20.949694,-23.203362,-24.621319,-24.753155,-22.048954,-23.18541,-26.266735,-34.84586,-22.293856,-20.572504,-23.256216,-20.028934,-20.809238,-29.405615,-22.091558,-21.306402,-24.404455,-24.089752,-21.14889,-22.85282,-23.547754,-21.818031,-24.236982,-25.668488,-24.466715,-25.777138,-22.170195,-22.781363,-22.045092,-21.892698,-19.871674,-25.39907,-24.69063,-46.455475,-25.556835,-20.578083,-22.123375,-24.636724,-23.007841,-21.713371,-21.88044,-22.919485,-21.820852,-20.667202,-26.996595,-23.001553,-22.879782,-20.340893,-30.998817,-22.846617,-37.849075,-24.14435,-33.356983,-21.396912,-22.65888,-21.56344,-24.842468,-19.98265,-23.135698,-23.283123,-25.359852,-23.399511,-23.009665,-23.883703,-25.068798,-21.751162,-25.778145,-26.416716,-23.308138,-28.723845,-21.884628,-20.55092,-25.736084,-21.223564,-21.366026,-21.87555,3,1,1,2
-22.608313,-26.187172,-23.614996,-20.630402,-24.803879,-25.053865,-21.595676,-23.952576,-24.68975,-51.47967,-23.28147,-25.291563,-21.670517,-24.505209,-27.89851,-23.499798,-19.495668,-23.878696,-23.861229,-22.781029,-24.792835,-24.33523,-25.048819,-26.464237,-22.925127,-26.008083,-25.148884,-25.675642,-22.698465,-22.785149,-28.35497,-50.35194,-22.50194,-21.38328,-24.076141,-19.538635,-21.504827,-34.44051,-28.403145,-23.234278,-24.690363,-25.598316,-20.978811,-23.331167,-25.575926,-23.260622,-23.772432,-26.744324,-25.976158,-26.450558,-23.389956,-22.82723,-23.770557,-22.690027,-21.163248,-25.01484,-25.368298,-59.830856,-26.69449,-21.839493,-22.83707,-26.340008,-24.730093,-22.53749,-24.73807,-24.09725,-23.135546,-21.491468,-29.718729,-23.87319,-26.545835,-19.920889,-27.68697,-24.512232,-44.407837,-24.806057,-35.678562,-22.087845,-23.35135,-22.24417,-26.83373,-24.097397,-25.858046,-21.883812,-25.115608,-25.303617,-24.866968,-24.89474,-27.997698,-21.859175,-26.610926,-26.873915,-22.957693,-33.729702,-22.78878,-22.564161,-26.163311,-22.646248,-21.838512,-22.022528,4,1,1,2
-26.058144,-28.010572,-26.66542,-23.886913,-25.509382,-26.357853,-22.319248,-24.709612,-24.103771,-45.74947,-25.659437,-28.845098,-24.489237,-27.466894,-27.16831,-26.136772,-22.700577,-26.087172,-24.769077,-24.33781,-25.433674,-28.423496,-26.27211,-29.518763,-23.443861,-25.620478,-28.15298,-28.371244,-25.579212,-27.392914,-27.839003,-47.277447,-21.945423,-22.903631,-26.622997,-22.517979,-23.31943,-38.229374,-25.827429,-21.897326,-27.277905,-28.0037,-24.491812,-25.272243,-24.850786,-24.84569,-27.992365,-26.590668,-28.576689,-27.587517,-25.798872,-27.002718,-25.89167,-26.587305,-22.915394,-26.547554,-27.883411,-56.71961,-28.000755,-24.884912,-25.864796,-29.883053,-26.295033,-26.717772,-27.300137,-23.344603,-23.597078,-22.3968,-30.11409,-26.856699,-30.28296,-21.825186,-31.5772,-26.828762,-42.33371,-26.651678,-37.196484,-23.988007,-26.512331,-23.308107,-26.412008,-25.625229,-26.553516,-26.405964,-26.981339,-26.988321,-25.584948,-25.822844,-27.744932,-20.76109,-28.577414,-25.335236,-25.668455,-28.72365,-25.564297,-22.921286,-27.272781,-25.077862,-22.10174,-25.0167,5,1,1,2
-21.150017,-24.856787,-23.22602,-20.629124,-20.932518,-23.473232,-18.600296,-20.65196,-21.184574,-50.210472,-22.467585,-24.748262,-21.623232,-23.971258,-25.329718,-22.030119,-20.090395,-22.714462,-22.438816,-20.81059,-21.839745,-23.848652,-22.94027,-22.498356,-20.916418,-22.0199,-24.223553,-24.110144,-22.29239,-22.678429,-25.843481,-49.06075,-21.104118,-20.191267,-23.109886,-18.703636,-22.712004,-31.092606,-24.069855,-19.435305,-24.134792,-23.238174,-20.13733,-23.230755,-22.73388,-21.832022,-22.45363,-23.147282,-24.322006,-22.642529,-23.172483,-22.505259,-21.985783,-22.666927,-20.392052,-23.633,-24.187197,-50.766804,-23.959774,-21.140797,-22.557364,-25.08685,-23.026514,-21.55576,-22.654236,-21.049463,-19.724806,-20.43493,-25.922934,-22.605536,-23.167978,-19.284243,-29.114912,-22.646967,-40.77559,-23.23002,-35.546173,-20.281658,-22.021837,-19.379738,-23.732267,-21.66783,-22.149752,-21.89503,-24.557983,-23.464504,-22.896477,-22.661402,-23.613632,-20.318825,-25.459894,-23.362555,-23.447954,-31.13112,-21.65869,-19.278818,-23.125137,-21.834213,-20.277712,-20.542019,6,1,1,2
-25.53406,-28.524096,-26.164528,-24.012066,-25.411919,-26.902153,-23.337334,-25.05651,-25.337894,-52.076427,-25.706326,-28.761375,-25.13839,-26.379713,-29.385904,-25.523415,-23.452032,-26.388409,-26.154522,-24.460295,-25.379835,-27.677446,-27.102823,-29.136438,-24.44357,-25.919308,-29.082026,-27.549059,-24.735096,-26.330944,-29.25099,-51.468685,-24.130474,-23.726305,-26.542965,-22.388008,-23.588644,-36.98874,-24.546062,-23.21827,-27.876797,-27.1159,-23.813728,-26.401882,-26.396767,-23.82587,-27.916353,-27.728891,-27.22661,-28.061789,-25.625158,-25.459116,-25.908733,-25.181614,-22.122635,-28.22163,-27.7926,-56.70866,-27.841347,-23.693481,-25.187674,-28.902704,-26.810995,-25.843489,-25.90782,-25.3515,-24.163416,-24.321619,-28.999292,-25.440207,-27.7311,-21.993967,-33.796326,-26.872828,-41.67271,-26.909548,-35.039288,-24.204012,-25.538591,-23.352531,-26.369959,-24.448242,-26.476501,-25.442005,-27.242767,-26.172506,-26.44721,-26.243078,-27.46818,-23.796871,-28.96757,-27.051083,-25.790056,-34.68263,-23.854591,-22.254438,-28.002712,-24.297653,-23.495518,-24.87836,7,1,1,2
-23.673838,-26.39601,-23.977358,-22.236729,-23.06313,-24.584156,-20.233273,-24.386925,-23.438148,-45.557415,-24.509518,-27.436186,-23.82434,-25.253904,-25.527674,-23.741177,-21.134195,-25.216843,-23.911022,-21.76377,-22.510956,-25.539059,-24.391293,-26.34831,-23.762552,-24.463703,-26.54656,-26.961618,-23.993656,-25.284922,-27.628126,-44.123566,-23.193815,-23.107687,-24.849161,-20.584408,-20.380142,-31.993702,-25.120853,-21.356915,-26.420177,-25.881771,-22.942,-23.997272,-24.40812,-23.42727,-25.982466,-25.891376,-27.008863,-27.759026,-24.022696,-23.153082,-25.240143,-24.951414,-19.400066,-23.237766,-26.345955,-54.48299,-26.67769,-22.115616,-22.8679,-26.641745,-24.908644,-24.255795,-25.092737,-21.783644,-22.760128,-20.656773,-28.74188,-25.348719,-25.285025,-19.758707,-33.43985,-25.046518,-36.40019,-25.862581,-32.13821,-22.559921,-24.2776,-22.026886,-23.949404,-21.144806,-25.49647,-23.957739,-26.57265,-25.3329,-24.759512,-25.634832,-26.79365,-18.498266,-27.161764,-26.048546,-23.201096,-30.538185,-24.48864,-22.382956,-27.00202,-23.291082,-20.232512,-23.573505,8,1,1,2
-23.766336,-26.223207,-24.184132,-21.72541,-24.958958,-24.116398,-21.15935,-23.358484,-23.525185,-42.20236,-24.92776,-27.348553,-21.85309,-24.019289,-26.205557,-23.522593,-20.29654,-24.706852,-23.549503,-21.911638,-22.673666,-25.987717,-25.309969,-27.31571,-22.28077,-25.108688,-26.869385,-25.77635,-22.963276,-25.143843,-27.061625,-41.848293,-23.303127,-22.379744,-24.641964,-21.199825,-21.110111,-28.707254,-23.217756,-21.712694,-26.202105,-25.442715,-22.445587,-24.283407,-25.250948,-22.63107,-25.20479,-26.698296,-26.087988,-26.412481,-23.556847,-22.132084,-23.959816,-23.662123,-20.41765,-26.800285,-25.772335,-54.95989,-26.401981,-21.11824,-22.80113,-26.781328,-24.48544,-25.223637,-23.963799,-23.002893,-24.205236,-21.523136,-29.477476,-23.342825,-28.34329,-19.636992,-33.74853,-26.443975,-37.922108,-25.677813,-35.190895,-21.516941,-23.273071,-23.068985,-24.364428,-21.52642,-25.76117,-22.753115,-25.526445,-24.51974,-23.27508,-24.019793,-27.231825,-21.370518,-26.9353,-26.093985,-24.208834,-29.263914,-22.746847,-21.807299,-25.771244,-22.311222,-20.127214,-23.203026,9,1,1,2
-20.096298,-23.074694,-20.123634,-18.687954,-22.374645,-20.940697,-17.45889,-19.346153,-22.202526,-39.70586,-19.754663,-23.121935,-18.910528,-21.363422,-22.413317,-20.655882,-18.178171,-21.409447,-22.443277,-20.056765,-19.095724,-21.90765,-22.13115,-21.975489,-20.863794,-22.935352,-22.220375,-21.060148,-20.307627,-21.250687,-24.580366,-39.38047,-18.997559,-18.999731,-20.169525,-18.198555,-18.291224,-29.107233,-23.890732,-19.852133,-22.309998,-21.346245,-17.551685,-21.545555,-22.148336,-19.505844,-21.04113,-24.694633,-22.494486,-22.630817,-20.892225,-20.619732,-19.214188,-21.051146,-17.240345,-22.111206,-22.619684,-47.804157,-22.745419,-18.934296,-20.516272,-23.215256,-20.431871,-19.499926,-18.565207,-21.674524,-20.058046,-18.31466,-25.684517,-19.762245,-22.553225,-18.8874,-26.800648,-21.655018,-33.872826,-21.908113,-30.06424,-19.616415,-19.743242,-21.027994,-24.258287,-20.22614,-22.626741,-20.439629,-22.363564,-21.810116,-19.840458,-20.372599,-24.115389,-20.64732,-23.895891,-24.264908,-22.326649,-27.29892,-19.68717,-17.931547,-23.438103,-20.10579,-19.162603,-19.445477,10,1,1,2
-22.713703,-24.804401,-22.967451,-20.529953,-22.684475,-22.99334,-20.703257,-22.464142,-22.951817,-49.96116,-22.245214,-24.705812,-20.412333,-22.319574,-26.188074,-22.435162,-19.0422,-23.179272,-22.9288,-21.284496,-23.475517,-23.707798,-24.388039,-25.006815,-21.389086,-22.665293,-25.251724,-23.942705,-21.39259,-22.895699,-26.381407,-47.589108,-20.407288,-20.69361,-22.799772,-19.183716,-19.206907,-31.151176,-24.101545,-20.441275,-24.150759,-24.037622,-20.482067,-22.52171,-23.533787,-21.148901,-24.377872,-25.40593,-24.309462,-26.004217,-22.124985,-21.069593,-22.562721,-20.930101,-19.859459,-23.238148,-24.34681,-50.75409,-25.727858,-20.407047,-22.172264,-25.330643,-22.556637,-22.179323,-22.47131,-22.696331,-22.276073,-20.128439,-27.124653,-22.839933,-25.541813,-18.66619,-29.339636,-23.024311,-36.916237,-24.04809,-33.77847,-21.780766,-22.07408,-20.069256,-24.707552,-21.33152,-24.027687,-22.21326,-23.901894,-23.697748,-23.511797,-23.058538,-25.123148,-21.6964,-25.170507,-25.217882,-22.295315,-33.81306,-21.227106,-19.761786,-26.952799,-22.071486,-20.928019,-22.007896,11,1,1,2
