pop,individual,indi_count_per_pop_trait,val_mean,val_sd,d_type
1,2,4,4.0525,0.417003197429788,train
1,3,5,4.152,0.505193032414343,eval
1,4,6,4.54,0.460260795636561,eval
1,5,6,3.71833333333333,0.254983659607173,eval
1,6,6,3.63833333333333,0.340259704735466,train
1,7,6,3.86333333333333,0.259743463183709,eval
1,8,6,4.29666666666667,0.519409921609769,eval
1,9,4,4.5975,0.43308005418552,train
1,10,6,3.85333333333333,0.364673369834797,train
1,11,6,4.385,0.719631850323483,train
1,12,6,3.8,0.344267337980239,eval
1,13,5,4.548,0.37271973384837,train
1,14,6,3.45,0.499879985596543,train
1,15,6,3.95333333333333,0.888271730196716,train
1,16,4,4.5125,0.670441396892127,train
1,17,4,3.94,0.507411732882348,eval
1,20,5,3.834,0.681124070929812,train
1,22,4,3.82,0.200499376557634,train
1,23,5,4.522,0.780301223887289,eval
1,24,5,4.292,0.455543631280254,train
1,29,5,4.274,0.665417162387626,train
1,30,4,3.665,0.812301257744522,train
1,32,7,4.65428571428571,0.553890998387984,train
1,33,4,3.6,0.248059132735188,eval
1,34,4,3.9525,0.420743389728229,train
1,36,5,3.484,0.238180603744301,train
1,37,5,3.844,0.190866445453359,eval
1,38,5,4.594,0.726140482275985,eval
1,39,4,3.8325,0.478426239525663,train
1,40,4,4.0425,0.383785964655649,train
1,41,6,3.95166666666667,0.262253058450548,eval
1,43,6,3.265,0.450099988891357,train
1,44,5,4.018,0.297942947558757,train
1,45,5,4.97,0.445701693961331,train
1,47,6,4.56,0.421093813775505,train
1,48,5,4.284,0.603431851993247,eval
1,49,5,3.704,0.413678619220283,train
1,51,5,4.082,0.594659566474802,train
1,52,5,4.562,0.542558752578926,train
1,53,6,4.185,0.307424787549735,train
1,54,7,4.30714285714286,0.272134420566644,train
1,55,5,4.024,0.52775941488523,train
1,56,5,3.714,0.377133928465737,train
1,57,6,3.895,0.371092980262359,train
1,59,4,4.735,0.462925479964108,eval
1,60,7,3.65571428571429,0.304568390943487,train
1,61,6,3.745,0.302307790174187,eval
1,62,5,3.232,0.533685300528317,train
1,63,7,3.91142857142857,0.416230247636592,eval
1,65,5,3.99,0.429243520626695,train
1,66,4,3.675,0.790548332909928,eval
1,67,7,4.05857142857143,0.646437121753502,eval
1,68,6,3.195,0.768212210264846,train
1,69,6,3.90833333333333,0.299026197291586,train
1,70,6,3.92,0.692618220955816,eval
1,71,5,4.114,0.551479827373586,eval
1,72,4,3.6375,0.449916658949188,train
1,73,5,2.99,0.401621712560464,train
1,74,5,4.072,0.553732787542872,train
1,75,5,3.864,0.438725426662281,eval
1,76,6,3.33166666666667,0.622781395568836,train
1,78,6,4.22166666666667,0.349366092611557,eval
1,79,5,4.622,0.624395707864812,train
1,80,7,4.39428571428571,0.348274658990915,eval
1,81,6,3.825,0.353143030513134,train
1,82,5,3.39,0.458093876841854,train
1,83,6,3.785,0.597887949368441,train
1,85,4,3.2775,0.27584717991429,train
1,86,5,3.35,0.531554324599095,eval
1,87,6,4.525,0.443249365481779,eval
1,88,5,4.562,0.581007745215156,eval
1,89,6,3.82333333333333,0.334883064168176,eval
1,91,5,4.138,0.387969070932207,train
1,93,4,3.6025,0.445823208607777,train
1,94,4,4.0625,0.450138867462031,train
1,96,5,3.28,0.299499582637439,train
1,98,4,4.04,0.496655480858378,eval
1,100,4,4.855,0.588245980295092,eval
1,101,4,3.73,0.371304008417182,train
1,102,4,4.4125,0.536493243200695,eval
1,103,4,4.38,0.60778285596091,eval
1,104,6,4.68166666666667,0.503881599849277,eval
1,105,4,3.9225,0.464856608715706,eval
1,106,4,3.9275,0.676479859271509,train
1,107,6,4.86833333333333,0.750610862342577,eval
1,108,4,4.455,0.377756535350482,train
1,109,6,3.91833333333333,0.267014356667702,train
1,110,5,3.594,0.386173536120745,train
1,111,4,4.8525,0.696054356115,train
1,114,6,4.11166666666667,0.905591887478387,eval
1,115,6,4.80833333333333,0.416625331282997,eval
1,116,6,4.35,0.510411598614295,train
1,117,4,3.64,0.437187983976382,eval
1,118,4,3.81,0.279761803444764,train
1,119,6,4.085,0.567089058261575,train
1,120,6,3.56,0.43058100283222,eval
1,121,6,4.185,1.03074245085763,eval
1,122,6,4.13,0.286914621446869,train
1,123,4,4.11,0.456070170039655,train
1,126,5,4.528,0.903061459702494,train
1,127,5,3.642,0.394993670835369,train
1,128,6,4.06166666666667,0.360134234233107,train
