pop,individual,indi_count_per_pop_trait,val_mean,val_sd,d_type
1,2,4,69.88,1.34880193752332,train
1,3,5,68.456,2.42549582559938,train
1,4,6,71.375,1.51327129094555,train
1,5,6,69.12,0.898086855487819,eval
1,6,6,69.795,1.7483334922148,eval
1,7,6,70.5933333333333,1.44241002030167,train
1,8,6,71.4016666666667,2.63186182514711,train
1,9,4,69.1325,2.0665651856805,train
1,10,6,68.705,1.44087126420094,eval
1,11,6,71.2266666666667,1.25469783879094,train
1,12,6,68.9783333333333,1.32673157295162,train
1,13,5,69.676,0.82221043535095,train
1,14,6,68.57,2.78695532795199,train
1,15,6,68.2933333333333,1.21639905732726,eval
1,16,4,72.015,3.28367172537085,eval
1,17,4,68.905,2.25702606690013,train
1,20,5,68.33,2.53977361195836,train
1,22,4,67.4575,2.48765451781392,eval
1,23,5,69.208,0.816131116916884,eval
1,24,5,70.576,0.809524551820385,train
1,29,5,69.112,2.38330023287038,eval
1,30,4,71.3225,1.24261485049337,eval
1,32,7,67.07,2.35812072068699,train
1,33,4,71.825,0.96258332972614,eval
1,34,4,70.25,0.911592014006264,eval
1,36,5,68.572,2.63142926942754,train
1,37,5,71.204,0.829053677393691,eval
1,38,5,67.874,0.713813701185401,train
1,39,4,68.85,1.65047467919585,train
1,40,4,70.1475,0.305545959445271,train
1,41,6,67.2383333333333,2.281187556223,train
1,43,6,68.195,1.33733690594405,eval
1,44,5,68.956,2.74511930523976,eval
1,45,5,70.578,1.07954620095668,eval
1,47,6,70.3166666666667,1.42303431675651,eval
1,48,5,68.934,3.08482252325803,eval
1,49,5,72.412,0.789949365465912,eval
1,51,5,66.376,2.43639692989464,eval
1,52,5,69.514,1.53102253412548,train
1,53,6,69.5866666666667,1.28660276179817,train
1,54,7,70.8985714285714,1.29799112184212,train
1,55,5,69.814,1.1745339501266,train
1,56,5,66.684,1.3159331290001,train
1,57,6,67.945,1.78242250883454,train
1,59,4,67.1975,0.91656514589344,train
1,60,7,65.3157142857143,2.70808577623173,train
1,61,6,69.04,0.983849581999197,train
1,62,5,67.136,3.77376867335559,eval
1,63,7,67.8271428571429,1.64919893974534,train
1,65,5,69.12,1.90105234015268,train
1,66,4,67.05,3.18431572973954,eval
1,67,7,70.3571428571429,1.87367476976586,train
1,68,6,68.2666666666667,0.827566714329829,train
1,69,6,70.8383333333333,1.07246289757113,train
1,70,6,68.6716666666667,0.854316490925155,eval
1,71,5,68.238,0.958159694414247,train
1,72,4,69.655,3.50322232618295,eval
1,73,5,70.952,1.43663495711332,train
1,74,5,66.58,2.58662908048294,eval
1,75,5,72.31,1.24233650835834,eval
1,76,6,68.5516666666667,1.95305316534565,eval
1,78,6,67.555,0.90383073636605,train
1,79,5,71.606,2.06524332706826,train
1,80,7,69.6885714285714,1.29701488775095,train
1,81,6,69.555,1.70156104797918,train
1,82,5,68.75,1.64878743323692,train
1,83,6,67.425,4.67613408704242,train
1,85,4,69.78,1.56369221182857,train
1,86,5,66.32,1.4358272876638,train
1,87,6,69.1616666666667,1.82602756459662,train
1,88,5,70.392,1.63487614209762,eval
1,89,6,67.89,1.10825989731651,train
1,91,5,68.36,3.40027940028463,train
1,93,4,69.6,1.5334275333383,eval
1,94,4,67.17,1.86924227072541,eval
1,96,5,70.264,1.2775092954652,eval
1,98,4,67.185,2.01730017597779,train
1,100,4,67.4975,2.86027242292292,eval
1,101,4,67.8175,3.37838595584736,train
1,102,4,66.1875,2.05667004321711,train
1,103,4,70.7075,0.902787350376599,eval
1,104,6,67.9433333333333,2.16508352417792,train
1,105,4,68.635,1.97906543600761,train
1,106,4,67.7525,3.7703702293895,eval
1,107,6,69.5783333333333,2.01908312524935,train
1,108,4,67.3525,0.53562269058234,train
1,109,6,69.2933333333333,2.490105754113,train
1,110,5,68.208,1.49139867238777,train
1,111,4,69.735,1.49116285719121,train
1,114,6,66.4533333333333,2.0071937292316,eval
1,115,6,69.375,1.83234003394567,eval
1,116,6,68.73,1.96141785451239,train
1,117,4,70.33,1.81547055424574,train
1,118,4,69.025,2.01061350504433,eval
1,119,6,68.4816666666667,1.6876897424191,train
1,120,6,71.295,1.86127644373425,train
1,121,6,67.5366666666667,1.21690865173466,train
1,122,6,68.1283333333333,2.32925238363443,eval
1,123,4,68.005,1.46365979653743,train
1,126,5,70.432,1.31843467794199,train
1,127,5,65.41,4.36815750631774,eval
1,128,6,69.6433333333333,1.92118366291895,train
1,129,5,69.102,1.6288554263654,eval
1,130,5,67.4,2.26621931860091,train
1,131,6,68.4383333333333,3.0651682933677,train
1,132,4,68.5375,0.866193781244514,train
1,133,6,69.1033333333333,1.39043398500852,train
1,134,6,67.3466666666667,1.0465498873282,train
1,135,5,67.002,2.20249177069972,train
1,136,4,68.445,2.96313460151014,train
1,137,5,67.244,2.53106301778522,eval
1,138,4,69.81,1.34506505418883,train
1,139,4,70.875,1.3763357148603,eval
1,140,6,68.87,1.99522429816801,train
1,141,4,68.7425,1.59414292542001,eval
1,144,7,70.1214285714286,1.55897860335358,eval
1,145,6,70.9016666666667,1.40271760046942,eval
1,146,4,72.375,1.40467077993386,train
1,147,4,71.21,1.24881276952685,train
1,148,4,70.3625,2.24357415745502,eval
1,149,7,70.2985714285714,1.52662403766643,eval
1,150,4,71.4775,1.41855266615895,eval
1,151,4,72.2475,1.37976749249043,train
1,152,7,68.0414285714286,2.41303010460174,eval
1,153,5,71.004,0.634846438125,train
1,154,6,70.445,1.51803491395949,train
1,156,6,68.7516666666667,1.64674729897051,train
1,157,4,69.43,0.876698351772146,train
1,158,5,66.904,2.39989166422153,train
1,159,6,67.1283333333333,1.9326708635116,train
1,160,6,70.575,2.92875912290512,train
1,161,5,68.964,1.46517234481135,eval
1,162,5,71.986,1.66401021631479,eval
1,164,4,68.9525,1.40549813233601,train
1,165,4,71.7375,1.12919956901633,train
1,166,6,70.11,2.26570960186869,train
1,167,4,69.885,0.62941772033099,eval
1,168,4,71.545,0.935396529107667,train
1,169,5,66.732,1.89275460638721,eval
1,170,5,71.946,1.2852159351642,train
1,171,5,69.024,0.763825896392629,eval
1,172,4,69.82,1.54468982862796,train
1,173,5,70.81,1.67085307552759,eval
1,174,6,69.5533333333333,1.29788545976395,train
1,175,4,69.6325,2.71215013104609,train
1,176,6,71.4533333333333,1.69757081344687,train
1,177,5,66.562,3.38295285216924,train
1,180,5,66.784,4.81042929477194,train
1,181,6,67.7033333333333,1.27495359392672,train
1,182,4,69.4625,2.0815438981679,eval
1,183,5,69.264,2.20227836569313,train
1,184,6,66.9433333333333,2.44423948635699,train
1,186,5,71.496,1.80760338570163,eval
1,187,7,71.4157142857143,1.40421813527264,train
1,189,6,68.2533333333333,1.09249561402628,train
1,191,4,64.64,2.90887148793709,eval
1,193,5,72.592,1.52440808184685,train
1,194,7,70.5171428571429,1.60569522103578,train
1,195,5,64.726,3.46481312627391,eval
1,197,4,69.145,1.6844880527923,eval
1,198,4,69.1875,2.12038322008075,train
1,199,4,68.76,1.65263426080909,eval
2,1,6,69.885,3.12359248302335,test
2,2,4,67.495,4.03543058421279,test
2,3,6,67.9266666666667,3.32601062335445,test
2,4,4,67.32,0.791833315793165,test
2,6,4,68.685,2.12421750298787,test
2,7,5,68.968,2.85008245494757,test
2,8,6,69.5466666666667,1.88349320855337,test
