chr;pos;B73;B97;CML103;CML228;CML247;CML277;CML322;CML333;CML52;CML69;HP301;Il14H;Ki11;KI3;Ky21;M162W;M37W;Ms71;NC350;Oh43;Oh7B;P39;Tx303;Tzi8
;;;;;626764;615270;612606;624066;610904;698827;621998;619269;612888;620667;625231;608020;611700;627503;633933;609812;614201;615885;608433;631172;630127
1;1947984;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;2914171;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;3706018;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;4490461;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;5562502;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;6220547;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;7156367;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;8366411;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;8367944;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;8510027;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;9024005;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
